"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Seychelles","SYC",2.54,1.03,6.27,4.01,2.51,24.49,41.4,1.28,37.77,0.01,51.98,0.01,37.97,41.57,49.01,8.1,37.02,0.01,30.29,37.79,0.01,2.15,0.12,43.08,50.41,45.54,46.51,27.51,0.57,0.01,15.74,30.25,66.82,35.24,22.89,0.01,0.01,0.01,0.01,0.01,34.99,41.2,35.26,42.37,48.08,48.45,49.57,45.57,1.44,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.77,42.09,59.26,0.04567,21.62,0.2,28.56,0.00022,24.73,0.16,33.15,0.00017,26.38,102.36,49.74,0.11105,25.65,64.38,52.02,0.06985,28.09,46.37,59.26,0.05031,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.98,3.63,33.52,0.00394,32.25,0.5,35.54,0.00054,0.01,0,0.01,0,12.14,4436.67,30.15,4.81341,0.01,0,0.01,0,0.01,0,0.01,0,27.1,23258.97,68.47,25.23401,50.7,73.54,50.12,12.73,45.54,10,45.54,14.2,40.25,24314.85,53.74,1940.11,32.07,0,23.6,-796.82,32.46,96.85,0.01,100,0.01,100,0.01,100,36.82,276.3,6.73,1983.84,21.58,4.51,42.41,129,67.18,62.54,66.46,274.16,46.73,34.87,52.8,11.83,0.49762,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,44.82,103.52,68.32,32106.49,50,10491.05,47.67,849.97,0.01,0,0.01,0,0.01,0,0.01,0,32.45,0.96921,37.72,0.51794,38.3,0.68944,44.33,0.17144,44.09,247.2,28.2,984.6,37.12,372.23,48.37,102.85,48.26,42.17,47.9,14.5,46.73,74.6,41.83,78.62,58.17,89.5,49.98,2.11,38.58,7.4,63.18,14.72,50.93,155.83,39.97,864.9,46.49,740.17,17.12,97,17.55,97,0.01,99,38.01,6907.86,36.05,1.2
"Sierra Leone","SLE",5,1.09,22.89,13.65,13.18,66.65,72.76,68.57,45.52,0.03,69.56,0.49,59.13,79.05,66.2,57.43,77.86,0.01,0.14,32.67,40.68,0.01,3.66,26.74,83.27,72.79,83.64,55.29,68.82,75.83,63.36,66.85,52.67,67.18,26.65,0.41,0.01,0.01,24.39,0.01,61.79,56.58,74.34,76.81,86.52,72.03,60.84,77.14,42.75,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.24,64.46,25.35,0.00095,0.01,0,0.01,0,0.01,0,0.01,0,33.57,776.18,35.67,0.01147,34.53,506.85,35.77,0.00749,28.88,53.6,28.49,0.00079,33.25,82311.86,46.24,1.21589,34.53,74877.55,47.4,1.10607,35.83,62646.98,50.28,0.92541,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,41.03,521265.28,100,7.7,64.87,426738.95,89.99,6.30368,0.01,0,0.01,0,28.1,28533.53,25.44,0.42149,85.59,55.23,81.02,9.15,77.11,3.7,68.72,10.2,77.87,1673.63,89.84,-75.43,64.76,258.61,47.2,19.43,61.97,63.77,76.43,16.51,68.48,22.7,83.96,0.7,64.76,6.31,61.99,861.34,64.29,26.2,69.52,105,50.93,57.11,54.46,188,68.32,71.12,30.03,5.16,0.63422,16.84,347,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,68.72,983.31,52.56,23885.33,85.59,51381.15,75.73,2199.93,25.71,4459.4,23.14,0.058,0.01,0,0.01,0,54.22,-0.41136,70.41,-1.1266,51.4,-0.09818,62.28,-0.76636,82.72,7.4,66.81,75.3,72.82,71.53,81.02,0.03,87.45,990.18,85.59,105.1,91.37,0.01,63.8,37.71,64.11,82.05,47.76,2.65,64.76,0.43,72.82,8.3,73.35,3534.94,79.55,5817.5,78.68,12197.66,37.44,91,37.73,90,55.31,67,85.59,214.25,70.83,15.7
"Singapore","SGP",0.81,0.15,4.37,4.29,0.88,22.1,16.49,0.51,36.08,0.12,39.87,0.01,1.99,34.36,34.36,25.66,12.25,0.01,0.13,1.77,0.01,0.01,0.15,43.63,12.73,30.97,6.73,27.9,0.01,0.01,29.11,23.61,46.1,17.28,58.96,17.57,0.01,0.01,0.01,0.01,0.26,15.22,40.99,36.51,27.1,36.43,32.4,24.64,26.73,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,23.66,24.11,23.93,0.00054,0.01,0,0.01,0,0.01,0,0.01,0,23.46,38.41,23.09,0.00085,23.44,38.41,23.81,0.00085,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,32.59,238225.14,34.62,5.30213,0.01,0,0.01,0,0.01,0,0.01,0,42.28,123746.97,45.02,2.75421,10.16,83.83,15.96,17.35,33.72,11.6,28.44,16.4,6.73,86482.77,6.73,39648.25,32.07,0,24.27,-791.21,0.01,100,0.01,100,0.01,100,0.01,100,38.3,263.69,22.13,1583.97,13.95,3.09,39.96,131.64,44.58,54.54,47.67,159.59,6.73,16.55,60.57,17.96,0.66565,20.42,1109,15.11,0.02,0.01,0,0.01,0,0.01,0,0.01,0,42.59,82.06,47.44,22100.68,30.88,384.35,40.51,584.17,0.01,0,0.01,0,0.01,0,0.01,0,6.73,2.15948,0.01,2.22109,12.55,1.5316,18.45,1.87856,46.02,229.95,36.51,669.97,46.49,268.31,28.68,3329.18,33.19,7.77,22.13,2.8,29.59,1503.79,42.34,77.77,38.58,102.31,44.44,3.36,34.58,9.62,22.13,91.09,38.58,18.38,30.88,447.67,12.55,51.98,22.08,96,22.26,96,38.85,84,10.16,21159.2,14.77,0.2
"Slovakia","SVK",1,0.1,10.1,7.06,4.19,34.86,39.13,4.04,7.44,0.47,31.62,0.06,38.02,32.3,45.42,22.86,40.81,1.83,0.01,0.01,41.42,0.01,0.15,0.01,41.01,32.27,39.25,45.12,22.81,0.01,34.22,34.22,0.26,36.82,43.1,24.09,0.43,0.01,0.36,0.01,38.96,37.11,37.18,28.25,32.08,41.39,49.85,37.21,14.04,27.05,2607.9,31.33,0.04786,20.7,187.45,21.54,0.00344,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,36.15,94825.78,54.43,1.74021,33.57,69219.24,51.16,1.27028,32.61,41499.52,45.85,0.76158,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.05,270434.37,31.55,4.96291,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,38.58,77.74,43.59,14.1,24.59,12.7,42.34,14.5,36.82,31285.38,41.83,5538.97,32.07,0,63.49,481.74,17.01,99.79,30.6,97.53,0.01,100,0.01,100,34.91,290.62,33.54,1356.68,18.78,4,62.34,114,0.01,37.63,6.73,60.23,27.7,22.96,66.11,24.65,0.65277,25.34,2582,22.9,0.05,18.52,60,0.01,0,0.01,0,0.01,0,21.32,6.36,38.87,18698.96,35.24,570.04,34.24,505.58,12.92,50,0.01,0,0.01,0,0.01,0,41.57,0.3272,36.51,0.6739,36.51,0.78279,37.72,0.55674,35.57,351.7,38.87,601.6,25.51,570,31.28,2486.53,28.68,5.76,35.89,5.6,32.07,1115.64,40.25,81.62,54.94,94.03,68.61,0.22,39.43,6.57,45.78,46.43,30.88,7.55,45.3,1206.14,36.82,198.31,17.12,97,17.55,97,9.22,98,39.7,6216.33,41.96,2
"Slovenia","SVN",1.44,0.31,6.68,5.7,2.06,25.39,31.8,1.55,31.43,0.13,29.83,0.01,32.76,26.79,35.53,24.66,18.67,2.56,0.01,0.01,32.76,0.01,0.17,20.14,31.03,23.91,32.26,42.72,22.97,0.01,38.77,0.65,16.61,53.27,35.08,21.82,0.01,0.01,0.01,0.01,32.24,33.29,32.57,30.64,19.27,32.21,39.2,22.25,27.32,33.42,9343.88,60.89,0.42802,31.85,1926.46,43.27,0.08825,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,24.22,23806.81,42.56,1.09052,25.21,19629.74,42.21,0.89918,25.21,15497.07,44.73,0.70987,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,29.52,163696.71,71.06,7.49846,0.01,0,0.01,0,0.01,0,0.01,0,19.28,3979.63,21.03,0.18229,30.03,81.54,32.07,16.01,24.59,12.7,23.25,17.6,32.45,40533.74,32.07,10897.69,32.07,0,56.9,193.64,20.22,99.5,26.1,98.1,0.01,100,0.01,100,33.54,300.68,44.82,1202.83,0.01,2.5,42.41,129,15.96,40.76,17.28,72.15,31.28,23.6,77.11,32.34,0.64534,20.8,1113,22.9,0.05,0.01,0,0.01,0,0.01,0,0.01,0,24.91,13.23,34.58,16199.73,28.68,302.81,32.07,429.17,0.01,0,0.01,0,0.01,0,0.01,0,32.82,0.9059,31.68,1.0814,35.89,0.81675,30.88,1.11842,38.3,317.2,27.7,1022,33.89,443,27.7,3812.26,29.59,6.25,12.55,2.1,30.88,1378.1,37.12,87.95,29.14,108.04,60.69,0.64,34.07,9.64,29.14,77.88,18.45,4.06,37.42,703.93,15.96,61.54,26.06,95,25.56,95,30.6,91,36.82,7577.5,9.47,0.1
"Solomon Islands","SLB",14.62,9.62,22.23,17.95,11.25,54.43,60.59,58.55,62.19,0.14,60.39,0.53,47.13,57.03,51.98,51.9,59.77,54.1,61.33,36.93,0.01,2.43,55.49,46.28,51.98,66.21,75.78,51.66,61.03,48.52,69.87,56.79,52.37,69.12,66.46,0.01,26,0.01,27.83,0.01,48.49,45.8,59.84,55.79,55.55,59.32,45.55,67.33,40.01,29.93,4506.9,87.87,0.81633,36.22,3679.07,81.27,0.66639,42.98,743.61,75.39,0.13469,52.68,1361.96,75.61,0.24669,47.78,303.73,69.68,0.05501,53.23,284.54,75.39,0.05154,29.72,309.03,42.77,0.05597,31.73,301.53,49.49,0.05462,29.28,58.26,43.43,0.01055,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,36.61,3189.56,50.11,0.57772,32.78,1.85,33.86,0.00033,0.01,0,0.01,0,21.19,40374,64.41,7.31292,36.22,38212.02,100,6.92133,59.07,21982.3,100,3.98165,35.8,70870.93,59.83,12.83682,52.1,73.18,51.86,12.36,63.8,5.7,68.72,10.2,70.41,2680.76,81.55,177.56,71.32,395.46,37.42,-64.5,57.99,67.3,64.22,34.76,39.98,70.26,58.88,9,73.08,1.56,66.81,713.8,50.91,16.5,63.34,113,50.58,56.79,54.22,186.29,67.93,71.1,39.97,6.52,0.67279,0.01,0,0.01,0,22.03,311,30.68,0.05,0.01,0,0.01,0,45.06,110.14,75.73,38792.71,62.58,26799.73,62.28,1551.85,22.03,2154,35.15,0.346,0.01,0,0.01,0,45.54,-0.0074,51.63,-0.15139,42.34,0.50178,49.54,-0.13987,65.76,22.28,54.46,216.4,56.65,163.53,54.94,15.54,58.96,116.45,52.33,20,52.33,16.08,60.03,42.19,66.46,80.01,38.41,6.64,37.42,7.78,65.76,12.15,62.88,1528.48,82.72,7117.35,58.69,3007.65,29.41,94,33.34,92,65.33,51,68.32,698.24,52.29,3.4
"Somalia","SOM",25.07,8.55,73.49,65.01,79.09,77.2,76.55,73.6,55.47,57.35,64.8,66.48,92.47,80.47,68.16,87.86,76.83,29.92,6.3,31.12,45.13,0.01,46.55,27.11,75.66,78.71,90.31,63.84,66.02,65.61,67.75,100,50.76,89.84,37.42,35.54,79.27,66.95,59.5,74.27,93.27,91.67,81.56,69.05,92.51,70.72,65.7,90.15,85.62,30.25,4569.04,30.48,0.04142,28.69,1237.11,27.45,0.01121,31.13,64.19,31.74,0.00058,24.36,25.93,19.47,0.00024,24.68,1.13,22.24,1e-05,23.91,0.05,0.01,0,32.78,600.62,30.9,0.00544,32.51,393.4,30.56,0.00357,31.7,86.91,28.49,0.00079,44.36,199737.7,54.93,1.81071,42.56,142488.4,51.6,1.29172,36.8,70897.34,42.91,0.64272,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,43.22,670101.43,42.77,6.07477,42.57,91807.8,50.07,0.83228,50.46,6544.41,51.17,0.05933,30.08,34454.54,24.44,0.31235,84.04,57.84,68.12,10.2,79.55,3.41,77.87,8.75,93.27,868.85,87.45,-38.05,69.12,341.01,58.96,244.77,71.73,56.48,60.77,39.31,61.84,36.03,69.6,3,63.49,7.92,72.3,509.92,100,59.5,100,79,48.37,55.77,53.27,183.58,87.45,90.58,35.57,5.7,0.64722,39.39,26926,32.06,0.17,74.7,1037000,84.12,6.52,66.2,293000,67.7,1.84,51.16,192.67,48.37,22442.86,76.4,44835.45,93.27,2889.92,59.21,853804,59.8,5.516,74.39,1987.6,74.16,0.013248,93.27,-1.70996,93.27,-2.23715,84.04,-2.38323,100,-2.35036,71.32,13.15,93.27,21.32,80.51,55.63,59.22,3.87,85.59,823.73,100,121.5,61.99,1.32,69.97,31.33,81.55,64.36,65.44,0.41,63.8,0.48,67.93,10.3,85.59,7087.7,100,8406.42,85.59,20742.05,89.15,42,87.23,47,80.71,28,93.27,162.21,63.29,6.48
"South Africa","ZAF",9.42,3.13,28.35,36.75,11.68,53.09,52.01,37.13,50.55,9.95,68.97,0.63,46.67,54.2,53.13,52.11,54.05,11.32,37.71,0.03,23.58,0.15,3,21.44,67.07,46.11,53.14,44.54,43.8,32.26,34.57,38.93,100,44.33,29.14,48.05,0.48,42.65,39.92,0.01,42.91,50.75,55.42,48.95,58.7,51.96,54.33,57.79,46.98,64.43,183295.64,54.71,0.30594,58.03,42751.34,41.15,0.07136,25.05,0.3,0.01,0,47.69,851.92,27.13,0.00142,49.73,359.5,33.42,6e-04,43.36,53.42,30.82,9e-05,17.28,0.04,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,32.29,70432.93,16.05,0.11756,32.93,65523.26,16.81,0.10936,34.86,52562.84,17.19,0.08773,29.91,632.96,31.48,0.00106,0.01,0,0.01,0,0.01,0,0.01,0,64.58,3776872.68,44.57,6.30396,56.62,303341.48,44.74,0.50631,0.01,0,0.01,0,27.44,26842.41,16.75,0.0448,69.12,64.39,65.09,10.42,44.82,10.2,47.44,13.8,51.4,11866.78,54.94,1788.73,46.02,35.96,43.1,-4.4,39.29,93.89,48.82,78.47,35.81,85,29.06,86.3,58.43,21.35,20.45,1656,27.82,6.5,54.47,120,100,76.15,100,950.57,53.51,43.84,46.49,8.39,0.63984,56.25,250190,41.05,0.42,23.41,414,0.01,0,43.81,5000,41.53,0.01,87.45,14250.79,100,46150.03,53.74,14769.72,48.14,856.43,47.59,155117.2,33.49,0.264,0.01,0,0.01,0,44.58,0.08492,41.31,0.36738,53.51,-0.21793,48.14,-0.07641,56.65,79.2,54.22,225.63,49.07,230.21,48.84,80.65,57.92,106.58,59.49,33.8,48.37,36.71,65.42,35.52,44.33,99.99,53.38,1.31,53.98,1.25,55.67,23.87,61.42,1199.56,51.4,1603.58,61.13,3848.01,47.1,84,45.67,84,48.2,76,56.9,1503.08,51.35,3.3
"South Sudan","SSD",4.21,0.25,70.8,70.33,67.15,75.14,69.05,79.21,61.73,69.81,72.99,62.41,68.01,71.35,76.74,66.97,82.55,44.03,0.01,0.01,52.8,0.01,2.67,0.01,73.1,80.54,76.26,50.64,84.88,77.16,93.27,64.44,65.78,70.86,50.46,72.81,69.12,67.6,64.39,60.49,65.99,70.09,68.35,58.43,90.95,75.27,78.23,81.2,55.23,43.69,31138.03,45.72,0.18567,42.99,8605.89,38.34,0.05131,46.14,1195.19,47.99,0.00713,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,53.93,449325.31,60.62,2.67917,51.6,309814.21,57.6,1.84732,46.24,137431.2,48.2,0.81946,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.14,909560.53,35.45,5.4234,45.19,116030.23,48.03,0.69185,0.01,0,0.01,0,0.01,0,0.01,0,82.72,58.2,64.59,10.44,69.54,4.8,93.27,5.3,81.55,1512.48,71.32,451.11,58.17,153.63,44.09,4.58,91.08,40.95,79.11,15.84,100,6.72,59.54,8.77,93.27,0.02,93.27,200.86,57.57,23.11,72.12,100.51,64.76,61.61,66.81,277.83,70.41,74.71,38.3,6.06,0.65819,67.4,700775,78.66,6.26,65.46,442200,72.98,3.95,62.54,271000,73.06,2.42,70.41,1213.99,60.3,27222.69,79.55,47438.78,84.04,2624.85,61.05,1119762.4,67.91,10.24,54.67,382.6,66.93,0.003506,64.11,-0.8656,67.93,-1.02454,73.91,-1.48082,66.46,-0.98961,67.18,19.33,69.54,65.62,59.22,140.76,57.66,5.65,100,1097.46,82.72,98.6,58.96,2.7,82.72,23.46,87.45,58.62,70.48,0.16,67.93,0.35,100,0.75,81.55,5785.01,80.51,5829.16,81.55,16483.9,56.53,76,55.5,75,53.7,69,84.04,217.22,81.09,38
"Spain","ESP",9.68,7.77,12.07,9.32,7.56,24.96,26.7,1.3,35.19,2.43,23.68,0.4,36.69,29.42,33.19,18.12,25.86,31.46,38.79,36.92,43.37,0.01,2.41,36.17,11.98,31.97,32.6,40.69,12.78,0.01,37.05,0.6,28.19,44.7,34.58,47.88,30,0.01,16.3,0.01,34.81,38.67,34.52,34.15,21.6,29.82,36.93,23.09,14.22,44.4,33995.9,33.43,0.06494,34.01,2376.15,22.59,0.00454,30.22,34.48,28.14,7e-05,55.92,1584.82,33.74,0.00303,49.06,333.22,34.31,0.00064,37.83,26.31,28.36,5e-05,43.54,5294.31,34.04,0.01011,41.53,2357.37,32.51,0.0045,40.61,740.92,31.16,0.00142,52.98,391153.28,35.18,0.74715,52.98,319084.92,36.15,0.60949,52.98,224639.63,35.18,0.42909,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,64.07,3570332.42,53.6,6.8198,29.39,16569.04,19.65,0.03165,0.01,0,0.01,0,47.11,280610.33,27.77,0.536,12.55,83.75,11.44,17.5,43.96,10.3,23.25,17.6,31.68,42248.59,33.54,9663.04,32.07,0,51.63,79.28,12.1,99.93,13.49,99.9,0.01,100,0.01,100,30.46,331.33,45.06,1174.43,0.01,2.5,36.08,134,27.7,45.07,28.68,95.78,22.89,21.94,72.82,30.44,0.64524,55.39,218827,41.38,0.46,36.92,7426,24.37,0.02,0.01,0,0.01,0,53.51,224.53,6.73,6816.23,30.46,370.8,28.68,330.7,21.68,1494.6,12.26,0.002,0.01,0,0.01,0,36.51,0.6468,33.19,0.99904,44.58,0.32287,33.54,0.97905,30.88,403,38.58,608,44.7,297,26.09,4311.49,19.49,3.87,23.94,3,30.03,1440.78,38.58,83.53,22.89,113.66,64.68,0.43,36.51,7.99,21.32,92.88,23.6,5.45,25.51,299.5,20.45,82.77,11.22,98,11.5,98,22.3,94,36.2,7778.31,18.48,0.3
"Sri Lanka","LKA",5.93,1.6,21.99,19.97,12.17,43.77,47.76,14.2,56.54,1.84,45.04,0.74,50.63,48.15,53.37,30.26,51.91,0.01,54.42,0.12,15.7,0.16,2.75,58.6,42.7,43.9,48.48,57.23,38.91,0.68,38.7,39.73,56.28,46.73,68.72,15.78,39.71,0.01,55.2,0.01,51.16,50.11,53.39,49.38,42.33,52.47,54.29,45.89,19.96,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,62.32,3901.82,50.98,0.01831,56.61,1320.8,47.94,0.0062,59.02,708.97,51.03,0.00333,18.38,1.65,17.61,1e-05,0.01,0,0.01,0,0.01,0,0.01,0,18.31,7513.1,13.65,0.03526,17.94,5821.88,13.65,0.02732,17.94,3999.87,13.65,0.01877,46.58,26062.24,42.34,0.12232,0.01,0,0.01,0,0.01,0,0.01,0,48,943646.27,27.15,4.42889,55.95,299877.68,58.77,1.40744,0.01,0,0.01,0,64.51,1369343.25,53.24,6.42685,40.25,77.22,45.3,13.68,41.57,10.6,46.37,14.1,49.54,12867.52,47.44,3365.9,45.3,32.01,72.3,917.89,41.54,92.23,36.45,93.65,0.01,100,46.85,31.2,51.4,76.43,29.14,1411.67,28.98,6.8,54.47,120,55.67,59.32,56.9,205.96,48.6,36.39,58.43,17.26,0.67803,21.89,1538,11.37,0.01,43.52,19309,36.24,0.09,0.01,0,0.01,0,23.6,9.26,67.55,31320.24,51.86,11994.37,49.77,902.91,58.06,693190,52.48,3.228,0.01,0,0.01,0,51.86,-0.31947,50.46,-0.11355,53.74,-0.22812,46.73,-0.01198,52.8,115.4,53.98,226,40.25,335.57,60.57,3.05,45.3,28.29,39.56,7.4,61.13,1.52,54.22,52.53,43.59,100.27,48.01,2.6,58.56,0.76,56.9,21.61,48.6,104.81,48.14,1376.85,41.31,432.49,22.08,96,22.26,96,16.18,96,47.9,3365.13,56.25,4.6
"Sudan","SDN",10.12,1.65,62.05,59.38,61.58,65.34,67,56.11,61.93,59.65,53.14,49.58,75.63,62.28,63.12,51.55,85.74,0.43,0.01,24.3,59.84,0.01,37.41,14.41,61.42,78.76,73.75,56.48,64.53,43.55,70.16,50.28,49.02,67.93,71.32,66.31,63.47,50.43,44.65,55.05,76.86,74.41,62.43,56.78,68.16,69.55,57.29,61.41,43.27,23.1,790.83,18.9,0.00185,14.55,0.03,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.48,176.12,21.99,0.00041,26.4,108.03,21.61,0.00025,26.92,29.69,22.21,7e-05,63.4,1057332.58,59.36,2.4771,61.28,793942.95,58.76,1.86003,59.98,485452.93,56.49,1.13731,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,56.22,1965441.3,28.68,4.60459,39.69,69938.87,33.65,0.16385,36.97,64.6,34.41,0.00015,15.62,904.75,13.3,0.00212,65.42,65.62,57.66,11.28,76.06,3.8,81.55,7.9,65.76,3968.36,82.72,150.18,63.8,219.77,50,51.88,66.97,60.45,62.18,36.89,47.53,53.83,39.91,53.2,76.4,0.77,64.43,771.12,42.3,12.3,59.76,116,46.97,55.37,51.16,173.23,66.81,70.41,39.7,6.5,0.68176,72.76,1061347,60.43,2.42,66.5,454000,60.58,1.04,50.68,79000,50.19,0.18,55.91,260.24,44.82,21298.18,55.91,16529.47,56.9,1272.78,50.83,322127.6,39.23,0.752,53.64,351.4,56.5,0.000872,75.09,-1.36698,78.68,-1.6219,77.11,-1.67361,71.8,-1.14047,62.88,35.81,61.99,114.6,55.67,168.38,57.92,5.26,66.81,284.97,69.54,60.5,55.18,7.32,75.73,27.46,80.51,64.82,57.82,0.85,55.67,1.09,58.43,19.37,62.28,1359.36,57.41,2393.71,64.76,5913.49,39.34,90,37.73,90,54.58,68,82.72,245.57,88.88,163.3
